"Query Name","Hit Contig ID","Hit length","Nb. HSPs","Score ","E Value ","Align. length","Identity","Query Start Position","Query End Position","Query frame","Query Coverage","Hit Start Position","Hit End Position","Hit frame","Hit coverage"
"EarlyHisEnd Positionne","Utg198750_LN:i:520109_RC:i:29_XO:i:0_pilon",538806,1,335,1E-174,353,98.3%,1539,1891,1,5.3%,520319,520671,1,0.1%
"EarlyHisEnd Positionne","Utg196974_LN:i:526441_RC:i:42_XO:i:0_pilon",548912,4,302,3E-156,315,98.7%,2775,3089,1,4.7%,315476,315164,-1,0.1%
"EarlyHisEnd Positionne","Utg196974_LN:i:526441_RC:i:42_XO:i:0_pilon",548912,4,176,3E-086,183,98.9%,3121,3302,1,2.7%,315085,314903,-1,0%
"EarlyHisEnd Positionne","Utg196974_LN:i:526441_RC:i:42_XO:i:0_pilon",548912,4,69,8E-027,72,98.6%,3130,3201,1,1.1%,205073,205002,-1,0%
"EarlyHisEnd Positionne","Utg196974_LN:i:526441_RC:i:42_XO:i:0_pilon",548912,4,54,2E-018,86,89.5%,2995,3080,1,1.3%,315168,315092,-1,0%
"EarlyHisEnd Positionne","Utg198034_LN:i:764047_RC:i:68_XO:i:0_pilon",776919,1,257,3E-131,403,88.1%,1420,1820,1,6%,190131,190532,1,0.1%
"EarlyHisEnd Positionne","Utg200748_LN:i:161876_RC:i:14_XO:i:0_pilon",173504,1,243,2E-123,252,98.8%,1598,1849,1,3.8%,115806,115555,-1,0.1%
"EarlyHisEnd Positionne","Utg202804_LN:i:76635_RC:i:7_XO:i:0_pilon",79027,1,240,7E-122,253,98.4%,1598,1849,1,3.8%,8162,7911,-1,0.3%
"EarlyHisEnd Positionne","Utg197334_LN:i:1283665_RC:i:121_XO:i:0_pilon",1325692,2,201,4E-100,496,81.9%,1855,2336,1,7.2%,79979,80438,1,0%
"EarlyHisEnd Positionne","Utg197334_LN:i:1283665_RC:i:121_XO:i:0_pilon",1325692,2,44,7E-013,64,90.6%,2428,2491,1,1%,80465,80525,1,0%
"EarlyHisEnd Positionne","Utg196252_LN:i:191786_RC:i:10_XO:i:0_pilon",191765,2,199,5E-099,205,99%,2976,3180,1,3.1%,91581,91377,-1,0.1%
